بلدية,Municipalite,Code_Geo,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Estimations_préliminaires,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_Prévisions_actuelles,2017___Ressources_budgétaires_totales_du_conseil_municipal_X_ressources_réalisées,2017___Ressources_budgétaires_totales_du_conseil_municipal_X___de_réalisation,2017___Dépenses_totales_du_consel_municipal_x_Estimations_péliminaires,2017___Dépenses_totales_du_consel_municipal_x_Estimations_actuelles,2017___Dépenses_totales_du_conseil_municipal_X_dépenses_réalisées,2017___Dépenses_totales_du_conseil_municipal_X___de_réalisation,2017___Recettes___Dépenses,2017_____des_Dépenses_par_rapport_a_la_ressource,sheet_source,processed_date,fiscal_year,جملة_موارد_ميزاني_ة_المجلس_البلدي,جملة_موارد_ميزاني_ة_المجلس_البلدي_1,جملة_موارد_ميزاني_ة_المجلس_البلدي_2,جملة_موارد_ميزاني_ة_المجلس_البلدي_3,جملة_موارد_ميزاني_ة_المجلس_البلدي_4,جملة_موارد_ميزاني_ة_المجلس_البلدي_5,جملة_موارد_ميزاني_ة_المجلس_البلدي_6,جملة_موارد_ميزاني_ة_المجلس_البلدي_7,جملة_موارد_ميزاني_ة_المجلس_البلدي_8,جملة_موارد_ميزاني_ة_المجلس_البلدي_9,جملة_موارد_ميزاني_ة_المجلس_البلدي_10,جملة_موارد_ميزاني_ة_المجلس_البلدي_11,جملة_موارد_ميزاني_ة_المجلس_البلدي_12,جملة_موارد_ميزاني_ة_المجلس_البلدي_13,جملة_موارد_ميزاني_ة_المجلس_البلدي_14,جملة_موارد_ميزاني_ة_المجلس_البلدي_15,جملة_موارد_ميزاني_ة_المجلس_البلدي_16,جملة_موارد_ميزاني_ة_المجلس_البلدي_17,جملة_موارد_ميزاني_ة_المجلس_البلدي_18,جملة_موارد_ميزاني_ة_المجلس_البلدي_19,جملة_موارد_ميزاني_ة_المجلس_البلدي_20,جملة_موارد_ميزاني_ة_المجلس_البلدي_21,جملة_موارد_ميزاني_ة_المجلس_البلدي_22,جملة_موارد_ميزاني_ة_المجلس_البلدي_23,جملة_موارد_ميزاني_ة_المجلس_البلدي_24,جملة_موارد_ميزاني_ة_المجلس_البلدي_25,جملة_موارد_ميزاني_ة_المجلس_البلدي_26,جملة_موارد_ميزاني_ة_المجلس_البلدي_27,جملة_موارد_ميزاني_ة_المجلس_البلدي_28,جملة_موارد_ميزاني_ة_المجلس_البلدي_29,جملة_موارد_ميزاني_ة_المجلس_البلدي_30,جملة_موارد_ميزاني_ة_المجلس_البلدي_31,0_4764
بلدية منزل عبد الرحمان,Municipalite Menzel Abderrahmen,1719.0,2291565.0,2308488.0,1002190.0,43.41%,2281909.0,2290186.0,465117.0,20.31%,537073.0,0.4641006196429819,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية العالية,Municipalite de Alia,1720.0,3828250.0,3839000.0,2132031.0,55.54%,3828250.0,3839000.0,796653.0,20.75%,1335378.0,0.3736592010153698,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية رأس الجبل,Municipalite de Ras Jebel,1721.0,5426339.0,5180000.0,3077634.0,59.41%,5426339.0,5180000.0,500735.0,9.67%,2576899.0,0.1627012828685932,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية الماتلين,Municipalite de Metline,1722.0,1394329.0,1407115.0,612372.0,43.52%,1391265.0,1401933.0,166212.0,11.86%,446160.0,0.2714232525327742,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية رفراف,Municipalite de Rafraf,1723.0,1944805.0,1952805.0,845541.0,43.3%,1944805.0,1952805.0,482603.0,24.71%,362938.0,0.5707623876311143,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية باجة,Municipalite de Beja,2111.0,11665203.0,11990987.0,7572099.0,63.15%,11638095.0,11990987.0,2421581.0,20.2%,5150518.0,0.3198031351676728,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية المعقولة,Municipalite de Maagoula,2112.0,1272500.0,1498795.0,907488.0,60.55%,1113202.0,1329455.0,314578.0,23.66%,592910.0,0.3466470080045135,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية زهرة مدين,Municipalite de Zahret Medien,2113.0,1372500.0,1356937.0,640222.0,47.18%,1269221.0,1306937.0,235637.0,18.03%,404585.0,0.3680551433721428,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية نفزة,Municipalite de Nefza,2114.0,1996126.0,1952650.0,842659.0,43.15%,1985626.0,1952650.0,435729.0,22.31%,406930.0,0.5170881697104048,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بلدية تبرسق,Municipalite de Tborsok,2115.0,1801067.0,1849605.0,921977.0,49.85%,1801067.0,1849605.0,209457.0,11.32%,712520.0,0.2271824568291833,Feuil1,2025-10-14,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
